text,label
Üblicherweise Ich gehe gerne im Wald spazieren und sammle Pilze....,2
Actually I like cooking tomato soup. :),1
Jeden Morgen trinke ich Tee....,2
Naprawdę W weekendy chodzę na spacery....,0
Uwielbiam chodzić po lesie i zbierać grzyby.!,0
Na ogół Uwielbiam chodzić po lesie i zbierać grzyby....,0
Berlin ist eine wunderschöne Stadt....,2
Sometimes Every morning I drink tea.!,1
Grundsätzlich Berlin ist eine wunderschöne Stadt..,2
Meiner Meinung nach Ich gehe gerne im Wald spazieren und sammle Pilze..,2
Tatsächlich Ich sehe gerne historische deutsche Filme..,2
Basically London is a beautiful city....,1
"Myślę, że To zadanie było bardzo trudne.!",0
Meiner Meinung nach Ich gehe gerne im Wald spazieren und sammle Pilze....,2
Hast du dieses Buch auf Deutsch gelesen?...,2
W weekendy chodzę na spacery....,0
Naprawdę To zadanie było bardzo trudne.!,0
Czasami Lubię gotować zupę pomidorową.,0
Actually I like cooking tomato soup.,1
Manchmal Ich sehe gerne historische deutsche Filme....,2
In my opinion I enjoy walking in the forest and collecting mushrooms..,1
Berlin ist eine wunderschöne Stadt..,2
Meiner Meinung nach Hast du dieses Buch auf Deutsch gelesen?!,2
Generally I like cooking tomato soup. :),1
Naprawdę To zadanie było bardzo trudne. :),0
Üblicherweise Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
W zasadzie Lubię oglądać polskie filmy historyczne.,0
"Myślę, że To jest zdanie w języku polskim. :)",0
Berlin ist eine wunderschöne Stadt. :),2
Na ogół Każdego ranka piję herbatę....,0
I think This task was very difficult....,1
Üblicherweise Hast du dieses Buch auf Deutsch gelesen?!,2
Sometimes My dog barks at the mailman.,1
On weekends I go for walks.!,1
Manchmal Hast du dieses Buch auf Deutsch gelesen? :),2
In my opinion London is a beautiful city.,1
In my opinion Have you read this book in English?...,1
Manchmal Berlin ist eine wunderschöne Stadt..,2
Naprawdę Lubię oglądać polskie filmy historyczne..,0
"Myślę, że W weekendy chodzę na spacery..",0
Tatsächlich Berlin ist eine wunderschöne Stadt..,2
Czasami Warszawa jest pięknym miastem. :),0
Basically This task was very difficult..,1
Usually London is a beautiful city.,1
W zasadzie Każdego ranka piję herbatę..,0
Basically Every morning I drink tea. :),1
Sometimes Have you read this book in English? :),1
W zasadzie W weekendy chodzę na spacery....,0
In my opinion London is a beautiful city..,1
In my opinion I like watching historical English movies....,1
Sometimes Have you read this book in English?.,1
Tatsächlich Ich sehe gerne historische deutsche Filme.,2
Generally London is a beautiful city. :),1
Sometimes London is a beautiful city.,1
Im Allgemeinen Jeden Morgen trinke ich Tee..,2
Grundsätzlich Jeden Morgen trinke ich Tee.,2
Uwielbiam chodzić po lesie i zbierać grzyby.,0
I think Have you read this book in English?...,1
Generally This task was very difficult....,1
Üblicherweise Mein Hund bellt den Briefträger an.!,2
Basically I enjoy walking in the forest and collecting mushrooms. :),1
Dies ist ein Satz auf Deutsch. :),2
In my opinion Have you read this book in English?.,1
Usually This is a sentence in English....,1
Generally On weekends I go for walks.!,1
Tatsächlich Hast du dieses Buch auf Deutsch gelesen?,2
Generally This task was very difficult. :),1
Tatsächlich Ich koche gerne Tomatensuppe.,2
I like watching historical English movies.!,1
In my opinion This task was very difficult....,1
Czasami W weekendy chodzę na spacery. :),0
Sometimes On weekends I go for walks.!,1
Actually I like cooking tomato soup..,1
Zazwyczaj Każdego ranka piję herbatę.,0
Im Allgemeinen Dies ist ein Satz auf Deutsch..,2
W zasadzie Warszawa jest pięknym miastem....,0
Generally Every morning I drink tea....,1
Ich denke Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Im Allgemeinen Berlin ist eine wunderschöne Stadt. :),2
Moim zdaniem Lubię oglądać polskie filmy historyczne.,0
"Myślę, że Mój pies szczeka na listonosza..",0
W zasadzie Lubię gotować zupę pomidorową.!,0
Basically My dog barks at the mailman.,1
Moim zdaniem To zadanie było bardzo trudne.,0
Generally I like cooking tomato soup.,1
"Myślę, że Uwielbiam chodzić po lesie i zbierać grzyby..",0
Ich sehe gerne historische deutsche Filme. :),2
To zadanie było bardzo trudne.,0
"Myślę, że To zadanie było bardzo trudne..",0
Üblicherweise Ich gehe gerne im Wald spazieren und sammle Pilze. :),2
Lubię gotować zupę pomidorową.!,0
I think My dog barks at the mailman....,1
W zasadzie Czy czytałeś tę książkę po polsku?.,0
Üblicherweise Berlin ist eine wunderschöne Stadt.!,2
Czasami Uwielbiam chodzić po lesie i zbierać grzyby....,0
Usually I enjoy walking in the forest and collecting mushrooms..,1
Manchmal Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Moim zdaniem Mój pies szczeka na listonosza.,0
Generally I like watching historical English movies. :),1
Naprawdę To zadanie było bardzo trudne.,0
I think Have you read this book in English?,1
I think Every morning I drink tea.,1
Generally This is a sentence in English..,1
Czasami Czy czytałeś tę książkę po polsku?.,0
Naprawdę Każdego ranka piję herbatę..,0
Ich denke Ich gehe gerne im Wald spazieren und sammle Pilze.,2
Im Allgemeinen Am Wochenende gehe ich spazieren....,2
W zasadzie W weekendy chodzę na spacery. :),0
Am Wochenende gehe ich spazieren.!,2
Basically Have you read this book in English? :),1
Tatsächlich Hast du dieses Buch auf Deutsch gelesen?!,2
Im Allgemeinen Ich sehe gerne historische deutsche Filme..,2
Im Allgemeinen Ich gehe gerne im Wald spazieren und sammle Pilze. :),2
In my opinion Every morning I drink tea. :),1
Basically On weekends I go for walks. :),1
Basically Have you read this book in English?.,1
W zasadzie W weekendy chodzę na spacery.,0
Generally This task was very difficult..,1
W zasadzie Czy czytałeś tę książkę po polsku?...,0
Im Allgemeinen Ich koche gerne Tomatensuppe....,2
"Myślę, że Warszawa jest pięknym miastem..",0
Moim zdaniem Uwielbiam chodzić po lesie i zbierać grzyby. :),0
In my opinion My dog barks at the mailman.!,1
Zazwyczaj W weekendy chodzę na spacery..,0
I like cooking tomato soup....,1
Ich denke Berlin ist eine wunderschöne Stadt.,2
Üblicherweise Dies ist ein Satz auf Deutsch....,2
W zasadzie To zadanie było bardzo trudne.,0
Basically My dog barks at the mailman.!,1
In my opinion This task was very difficult. :),1
Ich denke Dies ist ein Satz auf Deutsch.!,2
Manchmal Berlin ist eine wunderschöne Stadt.,2
Mój pies szczeka na listonosza.!,0
In my opinion This task was very difficult.,1
Meiner Meinung nach Hast du dieses Buch auf Deutsch gelesen?.,2
Meiner Meinung nach Diese Aufgabe war sehr schwierig..,2
Ich denke Ich sehe gerne historische deutsche Filme.,2
Basically Every morning I drink tea..,1
In my opinion On weekends I go for walks....,1
Meiner Meinung nach Am Wochenende gehe ich spazieren.,2
Ich koche gerne Tomatensuppe.,2
Üblicherweise Ich sehe gerne historische deutsche Filme....,2
"Myślę, że W weekendy chodzę na spacery. :)",0
Moim zdaniem To jest zdanie w języku polskim. :),0
Im Allgemeinen Ich sehe gerne historische deutsche Filme....,2
Grundsätzlich Jeden Morgen trinke ich Tee.!,2
Każdego ranka piję herbatę..,0
Naprawdę Lubię gotować zupę pomidorową. :),0
Generally This is a sentence in English....,1
Üblicherweise Dies ist ein Satz auf Deutsch.!,2
Berlin ist eine wunderschöne Stadt.!,2
London is a beautiful city. :),1
In my opinion London is a beautiful city....,1
"Myślę, że Lubię gotować zupę pomidorową....",0
I think I like watching historical English movies. :),1
Na ogół Lubię oglądać polskie filmy historyczne.,0
W zasadzie Lubię gotować zupę pomidorową.,0
Im Allgemeinen Mein Hund bellt den Briefträger an. :),2
Sometimes London is a beautiful city....,1
Üblicherweise Jeden Morgen trinke ich Tee..,2
Manchmal Am Wochenende gehe ich spazieren. :),2
Moim zdaniem W weekendy chodzę na spacery.!,0
Zazwyczaj Czy czytałeś tę książkę po polsku?,0
Naprawdę W weekendy chodzę na spacery. :),0
Basically This is a sentence in English....,1
Generally London is a beautiful city..,1
Moim zdaniem Uwielbiam chodzić po lesie i zbierać grzyby....,0
I enjoy walking in the forest and collecting mushrooms.!,1
Manchmal Jeden Morgen trinke ich Tee.!,2
Am Wochenende gehe ich spazieren....,2
Sometimes This is a sentence in English.,1
Naprawdę Lubię oglądać polskie filmy historyczne. :),0
Zazwyczaj To jest zdanie w języku polskim..,0
"Myślę, że Czy czytałeś tę książkę po polsku?...",0
In my opinion I like watching historical English movies. :),1
Zazwyczaj W weekendy chodzę na spacery. :),0
Lubię gotować zupę pomidorową..,0
Usually I like cooking tomato soup....,1
On weekends I go for walks. :),1
Grundsätzlich Ich sehe gerne historische deutsche Filme....,2
"Myślę, że Każdego ranka piję herbatę.!",0
Sometimes Every morning I drink tea..,1
Diese Aufgabe war sehr schwierig....,2
Sometimes I like cooking tomato soup..,1
Usually I enjoy walking in the forest and collecting mushrooms.!,1
Basically I like watching historical English movies....,1
Naprawdę To jest zdanie w języku polskim. :),0
Tatsächlich Mein Hund bellt den Briefträger an. :),2
Üblicherweise Hast du dieses Buch auf Deutsch gelesen?.,2
Zazwyczaj Lubię gotować zupę pomidorową....,0
Zazwyczaj Każdego ranka piję herbatę....,0
Meiner Meinung nach Ich sehe gerne historische deutsche Filme.,2
Każdego ranka piję herbatę. :),0
Sometimes London is a beautiful city. :),1
"Myślę, że To jest zdanie w języku polskim.",0
Grundsätzlich Berlin ist eine wunderschöne Stadt.,2
Sometimes This is a sentence in English. :),1
Generally London is a beautiful city.,1
Zazwyczaj Uwielbiam chodzić po lesie i zbierać grzyby. :),0
Usually On weekends I go for walks.,1
Zazwyczaj To zadanie było bardzo trudne....,0
Czasami Lubię oglądać polskie filmy historyczne.!,0
"Myślę, że Mój pies szczeka na listonosza....",0
Im Allgemeinen Dies ist ein Satz auf Deutsch.,2
Na ogół W weekendy chodzę na spacery. :),0
Ich denke Hast du dieses Buch auf Deutsch gelesen?!,2
Naprawdę Warszawa jest pięknym miastem..,0
"Myślę, że Czy czytałeś tę książkę po polsku?!",0
Basically My dog barks at the mailman. :),1
London is a beautiful city..,1
"Myślę, że Lubię oglądać polskie filmy historyczne..",0
Actually Have you read this book in English? :),1
Dies ist ein Satz auf Deutsch.,2
Actually London is a beautiful city....,1
Na ogół Każdego ranka piję herbatę..,0
Manchmal Diese Aufgabe war sehr schwierig....,2
Naprawdę To jest zdanie w języku polskim.,0
Zazwyczaj Mój pies szczeka na listonosza. :),0
Ich denke Ich gehe gerne im Wald spazieren und sammle Pilze....,2
Generally I like watching historical English movies.!,1
Actually Every morning I drink tea..,1
Moim zdaniem Warszawa jest pięknym miastem....,0
Usually This task was very difficult. :),1
Every morning I drink tea.!,1
Moim zdaniem Każdego ranka piję herbatę....,0
W zasadzie Uwielbiam chodzić po lesie i zbierać grzyby. :),0
On weekends I go for walks....,1
Grundsätzlich Dies ist ein Satz auf Deutsch..,2
Ich denke Berlin ist eine wunderschöne Stadt..,2
Zazwyczaj To jest zdanie w języku polskim....,0
Basically I like cooking tomato soup. :),1
Meiner Meinung nach Mein Hund bellt den Briefträger an. :),2
Manchmal Diese Aufgabe war sehr schwierig. :),2
Sometimes On weekends I go for walks....,1
Manchmal Diese Aufgabe war sehr schwierig.,2
Moim zdaniem Lubię oglądać polskie filmy historyczne....,0
Tatsächlich Dies ist ein Satz auf Deutsch....,2
Naprawdę Uwielbiam chodzić po lesie i zbierać grzyby. :),0
Manchmal Hast du dieses Buch auf Deutsch gelesen?...,2
Basically London is a beautiful city. :),1
W zasadzie Uwielbiam chodzić po lesie i zbierać grzyby..,0
Zazwyczaj W weekendy chodzę na spacery.!,0
Hast du dieses Buch auf Deutsch gelesen?.,2
Üblicherweise Diese Aufgabe war sehr schwierig.!,2
Im Allgemeinen Mein Hund bellt den Briefträger an..,2
W zasadzie Uwielbiam chodzić po lesie i zbierać grzyby.!,0
Generally This is a sentence in English.,1
Im Allgemeinen Berlin ist eine wunderschöne Stadt..,2
This task was very difficult....,1
Meiner Meinung nach Diese Aufgabe war sehr schwierig. :),2
Na ogół Lubię gotować zupę pomidorową..,0
Czasami Lubię oglądać polskie filmy historyczne....,0
Actually This is a sentence in English. :),1
Moim zdaniem Lubię gotować zupę pomidorową....,0
Na ogół Każdego ranka piję herbatę.!,0
Tatsächlich Ich koche gerne Tomatensuppe. :),2
Tatsächlich Mein Hund bellt den Briefträger an..,2
Mein Hund bellt den Briefträger an.,2
Naprawdę Lubię oglądać polskie filmy historyczne....,0
In my opinion I enjoy walking in the forest and collecting mushrooms.,1
Usually Have you read this book in English?...,1
Czasami To zadanie było bardzo trudne.!,0
I think My dog barks at the mailman.!,1
Naprawdę Każdego ranka piję herbatę. :),0
In my opinion My dog barks at the mailman.,1
Üblicherweise Ich sehe gerne historische deutsche Filme.!,2
Czasami W weekendy chodzę na spacery.,0
Ich denke Dies ist ein Satz auf Deutsch.,2
W zasadzie Warszawa jest pięknym miastem. :),0
Moim zdaniem W weekendy chodzę na spacery..,0
Meiner Meinung nach Berlin ist eine wunderschöne Stadt.,2
Tatsächlich Ich sehe gerne historische deutsche Filme....,2
I think I like watching historical English movies.!,1
Manchmal Am Wochenende gehe ich spazieren....,2
Meiner Meinung nach Dies ist ein Satz auf Deutsch.,2
In my opinion I like watching historical English movies.,1
Manchmal Ich sehe gerne historische deutsche Filme. :),2
Lubię oglądać polskie filmy historyczne.,0
Warszawa jest pięknym miastem. :),0
To zadanie było bardzo trudne. :),0
Manchmal Ich gehe gerne im Wald spazieren und sammle Pilze..,2
Meiner Meinung nach Am Wochenende gehe ich spazieren....,2
I think I enjoy walking in the forest and collecting mushrooms.,1
"Myślę, że Każdego ranka piję herbatę..",0
Naprawdę Czy czytałeś tę książkę po polsku? :),0
Tatsächlich Ich gehe gerne im Wald spazieren und sammle Pilze..,2
Tatsächlich Ich sehe gerne historische deutsche Filme. :),2
Meiner Meinung nach Ich gehe gerne im Wald spazieren und sammle Pilze.,2
I like cooking tomato soup.!,1
Manchmal Mein Hund bellt den Briefträger an..,2
Manchmal Berlin ist eine wunderschöne Stadt.!,2
Na ogół Lubię gotować zupę pomidorową.!,0
Ich denke Ich gehe gerne im Wald spazieren und sammle Pilze. :),2
Naprawdę Każdego ranka piję herbatę.!,0
Moim zdaniem W weekendy chodzę na spacery. :),0
Im Allgemeinen Jeden Morgen trinke ich Tee. :),2
Im Allgemeinen Ich sehe gerne historische deutsche Filme.,2
"Myślę, że Uwielbiam chodzić po lesie i zbierać grzyby.",0
Zazwyczaj W weekendy chodzę na spacery.,0
Zazwyczaj Czy czytałeś tę książkę po polsku?!,0
I enjoy walking in the forest and collecting mushrooms..,1
Üblicherweise Am Wochenende gehe ich spazieren. :),2
Na ogół Warszawa jest pięknym miastem....,0
Czasami Każdego ranka piję herbatę..,0
Am Wochenende gehe ich spazieren. :),2
Warszawa jest pięknym miastem.!,0
Ich gehe gerne im Wald spazieren und sammle Pilze.,2
Czasami To zadanie było bardzo trudne....,0
Na ogół Lubię gotować zupę pomidorową....,0
Actually I like cooking tomato soup....,1
Naprawdę To jest zdanie w języku polskim..,0
Usually This is a sentence in English.!,1
W zasadzie Uwielbiam chodzić po lesie i zbierać grzyby.,0
Tatsächlich Am Wochenende gehe ich spazieren..,2
Usually My dog barks at the mailman. :),1
Grundsätzlich Ich gehe gerne im Wald spazieren und sammle Pilze..,2
Naprawdę Każdego ranka piję herbatę.,0
Im Allgemeinen Dies ist ein Satz auf Deutsch. :),2
Grundsätzlich Ich koche gerne Tomatensuppe..,2
Manchmal Mein Hund bellt den Briefträger an.,2
Im Allgemeinen Hast du dieses Buch auf Deutsch gelesen? :),2
Zazwyczaj Lubię gotować zupę pomidorową.,0
My dog barks at the mailman.,1
Actually I enjoy walking in the forest and collecting mushrooms.!,1
Mein Hund bellt den Briefträger an. :),2
Zazwyczaj Uwielbiam chodzić po lesie i zbierać grzyby.!,0
Generally On weekends I go for walks....,1
Manchmal Jeden Morgen trinke ich Tee....,2
Czasami Czy czytałeś tę książkę po polsku?,0
Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Naprawdę Warszawa jest pięknym miastem. :),0
Usually My dog barks at the mailman.!,1
Ich denke Mein Hund bellt den Briefträger an. :),2
Im Allgemeinen Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Manchmal Hast du dieses Buch auf Deutsch gelesen?.,2
In my opinion My dog barks at the mailman....,1
W zasadzie Lubię gotować zupę pomidorową..,0
Meiner Meinung nach Hast du dieses Buch auf Deutsch gelesen?,2
Im Allgemeinen Am Wochenende gehe ich spazieren..,2
Üblicherweise Ich sehe gerne historische deutsche Filme..,2
Tatsächlich Jeden Morgen trinke ich Tee. :),2
Czy czytałeś tę książkę po polsku?,0
Im Allgemeinen Diese Aufgabe war sehr schwierig..,2
Basically I like cooking tomato soup....,1
Üblicherweise Diese Aufgabe war sehr schwierig. :),2
I like cooking tomato soup. :),1
Naprawdę Każdego ranka piję herbatę....,0
Mein Hund bellt den Briefträger an..,2
Generally I enjoy walking in the forest and collecting mushrooms.,1
This task was very difficult.,1
Usually On weekends I go for walks.!,1
Im Allgemeinen Berlin ist eine wunderschöne Stadt....,2
Tatsächlich Ich sehe gerne historische deutsche Filme.!,2
Grundsätzlich Jeden Morgen trinke ich Tee. :),2
Üblicherweise Am Wochenende gehe ich spazieren....,2
W weekendy chodzę na spacery.,0
Usually I enjoy walking in the forest and collecting mushrooms.,1
Meiner Meinung nach Berlin ist eine wunderschöne Stadt. :),2
Moim zdaniem To jest zdanie w języku polskim.!,0
To jest zdanie w języku polskim.,0
I think Every morning I drink tea..,1
Actually This is a sentence in English....,1
In my opinion Have you read this book in English?,1
Meiner Meinung nach Ich gehe gerne im Wald spazieren und sammle Pilze.!,2
Sometimes This task was very difficult....,1
Basically My dog barks at the mailman..,1
My dog barks at the mailman....,1
Zazwyczaj Czy czytałeś tę książkę po polsku?.,0
Generally Have you read this book in English?,1
Czasami To zadanie było bardzo trudne. :),0
I think On weekends I go for walks.,1
Actually This is a sentence in English..,1
Manchmal Dies ist ein Satz auf Deutsch. :),2
Every morning I drink tea....,1
Usually This is a sentence in English..,1
Manchmal Ich sehe gerne historische deutsche Filme.,2
Czasami Uwielbiam chodzić po lesie i zbierać grzyby..,0
Jeden Morgen trinke ich Tee.!,2
Zazwyczaj W weekendy chodzę na spacery....,0
Usually Every morning I drink tea.,1
W zasadzie Lubię gotować zupę pomidorową. :),0
Üblicherweise Berlin ist eine wunderschöne Stadt..,2
Tatsächlich Hast du dieses Buch auf Deutsch gelesen?...,2
W zasadzie To jest zdanie w języku polskim..,0
Sometimes This task was very difficult.,1
Czasami Uwielbiam chodzić po lesie i zbierać grzyby.,0
Tatsächlich Dies ist ein Satz auf Deutsch.,2
Usually On weekends I go for walks. :),1
Actually This task was very difficult. :),1
Basically I like watching historical English movies. :),1
W zasadzie Każdego ranka piję herbatę....,0
I think My dog barks at the mailman. :),1
Usually On weekends I go for walks....,1
"Myślę, że Warszawa jest pięknym miastem.!",0
Manchmal Hast du dieses Buch auf Deutsch gelesen?,2
Actually On weekends I go for walks. :),1
In my opinion This task was very difficult.!,1
Grundsätzlich Ich gehe gerne im Wald spazieren und sammle Pilze.,2
Usually London is a beautiful city. :),1
Czasami Mój pies szczeka na listonosza..,0
Zazwyczaj Każdego ranka piję herbatę. :),0
Basically I like watching historical English movies.!,1
Ich denke Mein Hund bellt den Briefträger an.!,2
Sometimes London is a beautiful city.!,1
Tatsächlich Am Wochenende gehe ich spazieren. :),2
Naprawdę Lubię gotować zupę pomidorową.,0
Naprawdę Lubię oglądać polskie filmy historyczne.!,0
Im Allgemeinen Ich gehe gerne im Wald spazieren und sammle Pilze....,2
Ich sehe gerne historische deutsche Filme....,2
I think I like cooking tomato soup..,1
Na ogół Uwielbiam chodzić po lesie i zbierać grzyby.,0
Usually Every morning I drink tea. :),1
Im Allgemeinen Dies ist ein Satz auf Deutsch....,2
Tatsächlich Dies ist ein Satz auf Deutsch.!,2
Moim zdaniem Warszawa jest pięknym miastem.!,0
Usually My dog barks at the mailman.,1
In my opinion Every morning I drink tea.!,1
Sometimes My dog barks at the mailman. :),1
Czasami To jest zdanie w języku polskim....,0
Basically I like cooking tomato soup..,1
Generally This is a sentence in English.!,1
Manchmal Jeden Morgen trinke ich Tee..,2
Generally Every morning I drink tea.!,1
Meiner Meinung nach Dies ist ein Satz auf Deutsch....,2
Üblicherweise Hast du dieses Buch auf Deutsch gelesen?...,2
Sometimes My dog barks at the mailman....,1
I like cooking tomato soup.,1
Tatsächlich Dies ist ein Satz auf Deutsch..,2
W weekendy chodzę na spacery. :),0
Meiner Meinung nach Am Wochenende gehe ich spazieren.!,2
Sometimes Have you read this book in English?,1
Manchmal Diese Aufgabe war sehr schwierig..,2
Tatsächlich Am Wochenende gehe ich spazieren....,2
Na ogół Czy czytałeś tę książkę po polsku?.,0
Czasami To zadanie było bardzo trudne..,0
To zadanie było bardzo trudne..,0
Actually My dog barks at the mailman. :),1
Im Allgemeinen Diese Aufgabe war sehr schwierig. :),2
Usually On weekends I go for walks..,1
Im Allgemeinen Hast du dieses Buch auf Deutsch gelesen?,2
Ich denke Am Wochenende gehe ich spazieren..,2
"Myślę, że W weekendy chodzę na spacery.!",0
Manchmal Dies ist ein Satz auf Deutsch....,2
